year, month, day, time, lessons, top_wpm, average_wpm, num_letters 
2021, 10, 19, 102, 6, 96.2, 87, 26
2021, 10, 20, 83, 5, 96.2, 88.8, 26
2021, 10, 21, 120, 7, 96.8, 88.1, 26
2021, 10, 22, 139, 8, 99, 86.2, 26
2021, 10, 23, 115, 7, 96.7, 90.3, 26
2021, 10, 25, 83, 5, 100.2, 90.3, 26
2021, 10, 28, 88, 6, 96.4, 89, 26
2021, 10, 29, 126, 8, 103, 93.3,26
2021, 11, 04, 90, 6, 107.2, 98.6,26
2021, 11, 05, 87, 5, 94.4, 86.2,26
2021, 11, 08, 130, 8, 98.6, 90.2, 26
2021, 11, 09, 122, 7, 96, 87.3, 26
2021, 11, 10, 130, 8, 100.2, 91.6, 26
2021, 11, 11, 146, 9, 100, 91.4, 26
2021, 11, 12, 142, 9, 101.6, 94.3, 26
2021, 11, 15, 182, 11, 98.8, 90, 26
2021, 11, 16, 254, 15, 99.4, 88.6, 26
2021, 11, 17, 110, 7, 100.6, 94.5, 26
2021, 11, 18, 113, 7, 103.2, 93.3, 26
2021, 11, 19, 124, 8, 110.4, 95.8, 26
2021, 11, 22, 108, 7, 105.8, 96.2, 26
2021, 11, 23, 149, 9, 94.6, 89.6, 26
2021, 11, 24, 93, 6, 108.2, 94.8, 26
2021, 11, 25, 142, 9, 109.4, 94.5, 26
2021, 11, 29, 111, 7, 102.8, 93.9, 26
2021, 11, 30, 112, 7, 98.2, 93.2, 26
2021, 12, 01, 40, 3, 116, 109.1, 26
2021, 12, 02, 117, 7, 94, 88.1, 26
2021, 12, 06, 78, 5, 99.8, 95.6, 26
2021, 12, 07, 136, 8, 96.8, 87.8, 26
2021, 12, 08, 77, 6, 98.8, 91.9, 26
2021, 12, 09, 116, 7, 120.4, 89.9, 26
2021, 12, 13, 76, 5, 108.6, 97.5, 26
2021, 12, 15, 60, 4, 99.2, 97.3, 26
2021, 12, 16, 176, 11, 106.2, 91.9, 26
2021, 12 17, 124, 8, 115.6, 95.5, 26
2022,01, 18, 143, 9, 102.12, 91.8, 26
2022, 01, 24, 95, 6, 101.5, 92.6, 26
